index,lastName,givenName,year,location,citation,acmFellowProfile,dblpProfile,googleScholarProfile,affiliation,acmInterests,authorID,citation_histogram,citations,coauthors,hindex,i10index,imageLink,interests
11,Cortes,Corinna,2022,USA,"For theoretical and practical contributions to machine learning, industrial leadership, and service to the field",https://awards.acm.org/award-recipients/cortes_5490222,https://dblp.org/pid/77/5783,https://scholar.google.com/citations?user=U_IVY50AAAAJ,"Google Research, NY",Machine Learning Datamining,U_IVY50AAAAJ,"[('1999', '216'), ('2000', '255'), ('2001', '300'), ('2002', '461'), ('2003', '622'), ('2004', '656'), ('2005', '1009'), ('2006', '1178'), ('2007', '1363'), ('2008', '1461'), ('2009', '1700'), ('2010', '1840'), ('2011', '2147'), ('2012', '2708'), ('2013', '3307'), ('2014', '4011'), ('2015', '4442'), ('2016', '4767'), ('2017', '5345'), ('2018', '6455'), ('2019', '7366'), ('2020', '8158'), ('2021', '8882'), ('2022', '8614'), ('2023', '6452')]",84835.0,,57.0,115.0,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=U_IVY50AAAAJ&citpid=3,"['Machine Learning', 'Datamining']"
12,Gotsman,Craig,2022,USA,"For contributions to computer graphics, geometry processing, and visual computing
",https://awards.acm.org/award-recipients/gotsman_3554902,https://dblp.org/pid/99/3488,https://scholar.google.com/citations?user=0JRBzUEAAAAJ,"Distinguished Professor and Dean, Ying Wu College of Computing, NJIT",Computer Graphics,0JRBzUEAAAAJ,"[('1996', '31'), ('1997', '40'), ('1998', '66'), ('1999', '82'), ('2000', '128'), ('2001', '163'), ('2002', '253'), ('2003', '327'), ('2004', '426'), ('2005', '563'), ('2006', '604'), ('2007', '636'), ('2008', '633'), ('2009', '646'), ('2010', '614'), ('2011', '633'), ('2012', '680'), ('2013', '751'), ('2014', '669'), ('2015', '617'), ('2016', '581'), ('2017', '563'), ('2018', '537'), ('2019', '399'), ('2020', '452'), ('2021', '414'), ('2022', '370'), ('2023', '290')]",12585.0,,60.0,124.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0JRBzUEAAAAJ&citpid=3,['Computer Graphics']
13,Mount,David M,2022,USA,For contributions to algorithms and data structures for geometric data analysis and retrieval,https://awards.acm.org/award-recipients/mount_2204550,https://dblp.org/pid/m/DavidMMount,https://scholar.google.com/citations?user=v6PsQKIAAAAJ,"Professor of Computer Science, University of Maryland",Computational geometry geometric data structures,v6PsQKIAAAAJ,"[('1993', '75'), ('1994', '77'), ('1995', '98'), ('1996', '91'), ('1997', '107'), ('1998', '142'), ('1999', '164'), ('2000', '215'), ('2001', '239'), ('2002', '262'), ('2003', '326'), ('2004', '444'), ('2005', '452'), ('2006', '587'), ('2007', '647'), ('2008', '723'), ('2009', '867'), ('2010', '916'), ('2011', '979'), ('2012', '972'), ('2013', '1039'), ('2014', '1024'), ('2015', '1080'), ('2016', '1047'), ('2017', '1191'), ('2018', '1154'), ('2019', '1167'), ('2020', '1035'), ('2021', '1089'), ('2022', '942'), ('2023', '707')]",20386.0,,43.0,116.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=v6PsQKIAAAAJ&citpid=3,"['Computational geometry', 'geometric data structures']"
14,Zorin,Denis,2022,USA,"For contributions to computer graphics, geometry processing, and scientific 
computing",https://awards.acm.org/award-recipients/zorin_5054197,https://dblp.org/pid/21/2496,https://scholar.google.com/citations?user=cagVT0AAAAAJ,"Professor of Computer Science and Mathematics, Courant Institute, NYU",,cagVT0AAAAAJ,"[('1998', '50'), ('1999', '91'), ('2000', '190'), ('2001', '256'), ('2002', '377'), ('2003', '437'), ('2004', '481'), ('2005', '507'), ('2006', '596'), ('2007', '542'), ('2008', '460'), ('2009', '477'), ('2010', '483'), ('2011', '522'), ('2012', '575'), ('2013', '509'), ('2014', '587'), ('2015', '562'), ('2016', '643'), ('2017', '669'), ('2018', '592'), ('2019', '750'), ('2020', '764'), ('2021', '966'), ('2022', '1204'), ('2023', '902')]",14780.0,,61.0,139.0,/citations/images/avatar_scholar_128.png,[]
15,Yu,Dong,2022,USA,"For contributions in speech processing and deep learning applications
",https://awards.acm.org/award-recipients/yu_7075850,https://dblp.org/pid/36/4716,https://scholar.google.com/citations?user=tMY31_gAAAAJ,"Distinguished Scientist @ Tencent AI Lab, ACM/IEEE/ISCA Fellow",automatic speech recognition speech processing natural language processing,tMY31_gAAAAJ,"[('2009', '215'), ('2010', '293'), ('2011', '368'), ('2012', '528'), ('2013', '1158'), ('2014', '2138'), ('2015', '3298'), ('2016', '4523'), ('2017', '4999'), ('2018', '6612'), ('2019', '6922'), ('2020', '7065'), ('2021', '7313'), ('2022', '6866'), ('2023', '5139')]",58175.0,,86.0,314.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tMY31_gAAAAJ&citpid=5,"['automatic speech recognition', 'speech processing', 'natural language processing']"
16,Chi,Ed H.,2022,USA,"For contributions to machine learning and data mining techniques for social computing and recommender systems
",https://awards.acm.org/award-recipients/chi_4183398,https://dblp.org/pid/99/10276,https://scholar.google.com/citations?user=VuWl-KUAAAAJ,Google Research / Google Brain,Machine Learning Recommenders Dialog Systems HCI Social Computing,VuWl-KUAAAAJ,"[('2001', '99'), ('2002', '146'), ('2003', '221'), ('2004', '319'), ('2005', '340'), ('2006', '415'), ('2007', '473'), ('2008', '496'), ('2009', '743'), ('2010', '960'), ('2011', '1241'), ('2012', '1479'), ('2013', '1596'), ('2014', '1705'), ('2015', '1638'), ('2016', '1582'), ('2017', '1439'), ('2018', '1419'), ('2019', '1716'), ('2020', '1966'), ('2021', '2385'), ('2022', '3319'), ('2023', '5743')]",32022.0,,83.0,223.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VuWl-KUAAAAJ&citpid=7,"['Machine Learning', 'Recommenders', 'Dialog Systems', 'HCI', 'Social Computing']"
17,Koushanfar,Farinaz,2022,USA,"For contributions to secure computing and privacy-preserving machine learning
",https://awards.acm.org/award-recipients/koushanfar_2784014,https://dblp.org/pid/k/FarinazKoushanfar,https://scholar.google.com/citations?user=3XnMVUAAAAAJ,"Professor and Henry Booker Faculty Scholar of ECE, UC San Diego",Embedded and cyber-physical systems security and trust adaptive computing machine learning synthesis and customization,3XnMVUAAAAAJ,"[('2003', '111'), ('2004', '182'), ('2005', '272'), ('2006', '392'), ('2007', '429'), ('2008', '463'), ('2009', '554'), ('2010', '610'), ('2011', '702'), ('2012', '625'), ('2013', '904'), ('2014', '1076'), ('2015', '1093'), ('2016', '1316'), ('2017', '1659'), ('2018', '1681'), ('2019', '1850'), ('2020', '2697'), ('2021', '3412'), ('2022', '4150'), ('2023', '3407')]",27978.0,,68.0,211.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3XnMVUAAAAAJ&citpid=3,"['Embedded and cyber-physical systems', 'security and trust', 'adaptive computing', 'machine learning', 'synthesis and customization']"
18,Li,Hang,2022,China,For contributions to machine learning for search and dialogue,https://awards.acm.org/award-recipients/li_5842974,https://dblp.org/pid/203/8146,https://scholar.google.com/citations?user=_ZYl_aIAAAAJ,Harvard Medical School  / MGH,Biostatistics Clinical Research,_ZYl_aIAAAAJ,"[('1999', '145'), ('2000', '255'), ('2001', '313'), ('2002', '420'), ('2003', '553'), ('2004', '713'), ('2005', '899'), ('2006', '1102'), ('2007', '1161'), ('2008', '1409'), ('2009', '1574'), ('2010', '1851'), ('2011', '2092'), ('2012', '2178'), ('2013', '2411'), ('2014', '2651'), ('2015', '2914'), ('2016', '3012'), ('2017', '2997'), ('2018', '2826'), ('2019', '2765'), ('2020', '2852'), ('2021', '3242'), ('2022', '3032'), ('2023', '2265')]",46786.0,,107.0,296.0,/citations/images/avatar_scholar_128.png,"['Biostatistics', 'Clinical Research']"
19,Hicks,Michael W,2022,USA,"For contributions to programming language design and implementation, program analysis, and software security.",https://awards.acm.org/award-recipients/hicks_UI16381,https://dblp.org/pid/h/MichaelWHicks,https://scholar.google.com/citations?user=Gggzp7UAAAAJ,"Senior Principal Scientist, AWS, and Professor Emeritus, UMD",programming languages software security,Gggzp7UAAAAJ,"[('1998', '69'), ('1999', '134'), ('2000', '178'), ('2001', '219'), ('2002', '360'), ('2003', '350'), ('2004', '327'), ('2005', '351'), ('2006', '354'), ('2007', '411'), ('2008', '416'), ('2009', '532'), ('2010', '479'), ('2011', '552'), ('2012', '522'), ('2013', '553'), ('2014', '536'), ('2015', '622'), ('2016', '721'), ('2017', '621'), ('2018', '654'), ('2019', '643'), ('2020', '677'), ('2021', '696'), ('2022', '712'), ('2023', '615')]",12572.0,,53.0,124.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Gggzp7UAAAAJ&citpid=1,"['programming languages', 'software security']"
20,Xing,Eric,2022,USA,"For contributions to algorithms, architectures, and applications in machine learning
",https://awards.acm.org/award-recipients/xing_9708021,https://dblp.org/pid/36/3855,https://scholar.google.com/citations?user=5pKTRxEAAAAJ,"President at Mohamed bin Zayed University of AI, Professor of Computer Science, Carnegie …",Machine Learning ML Systems Optimization Statistics Network Analysis,5pKTRxEAAAAJ,"[('2003', '140'), ('2004', '201'), ('2005', '280'), ('2006', '362'), ('2007', '418'), ('2008', '501'), ('2009', '632'), ('2010', '842'), ('2011', '1092'), ('2012', '1630'), ('2013', '1945'), ('2014', '2475'), ('2015', '2646'), ('2016', '2925'), ('2017', '3142'), ('2018', '4119'), ('2019', '4800'), ('2020', '5662'), ('2021', '6585'), ('2022', '7135'), ('2023', '6197')]",54517.0,,111.0,417.0,/citations/images/avatar_scholar_128.png,"['Machine Learning', 'ML Systems', 'Optimization', 'Statistics', 'Network Analysis']"
21,Sullivan,Gary J.,2022,USA,For contributions to video and image compression and leadership in its standardization,https://awards.acm.org/award-recipients/sullivan_4760472,https://dblp.org/pid/77/3125,https://scholar.google.com/citations?user=5g5a1SgAAAAJ,"Video & Image Technology Architect, Microsoft Corporation",Video coding Image coding Quantization Multimedia signal processing Image and video processing,5g5a1SgAAAAJ,"[('2000', '138'), ('2001', '126'), ('2002', '210'), ('2003', '309'), ('2004', '621'), ('2005', '1041'), ('2006', '1425'), ('2007', '1654'), ('2008', '1770'), ('2009', '1959'), ('2010', '2104'), ('2011', '2127'), ('2012', '2489'), ('2013', '2967'), ('2014', '3161'), ('2015', '3284'), ('2016', '3732'), ('2017', '3264'), ('2018', '3084'), ('2019', '3138'), ('2020', '2799'), ('2021', '2720'), ('2022', '3055'), ('2023', '2357')]",50783.0,,72.0,202.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5g5a1SgAAAAJ&citpid=2,"['Video coding', 'Image coding', 'Quantization', 'Multimedia signal processing', 'Image and video processing']"
22,Navarro,Gonzalo,2022,Chile,For theoretical and practical contributions to the fields of text searching and compact data structures,https://awards.acm.org/award-recipients/navarro_UI58921,https://dblp.org/pid/n/GonzaloNavarro,https://scholar.google.com/citations?user=_fx52FkAAAAJ,University of Chile,algorithms and data structures text searching compression similarity search,_fx52FkAAAAJ,"[('1998', '125'), ('1999', '121'), ('2000', '188'), ('2001', '268'), ('2002', '379'), ('2003', '581'), ('2004', '693'), ('2005', '913'), ('2006', '829'), ('2007', '1079'), ('2008', '1104'), ('2009', '1374'), ('2010', '1350'), ('2011', '1379'), ('2012', '1507'), ('2013', '1741'), ('2014', '1769'), ('2015', '1577'), ('2016', '1598'), ('2017', '1703'), ('2018', '1421'), ('2019', '1276'), ('2020', '1399'), ('2021', '1441'), ('2022', '1345'), ('2023', '1134')]",29055.0,,79.0,356.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_fx52FkAAAAJ&citpid=2,"['algorithms and data structures', 'text searching', 'compression', 'similarity search']"
23,Zheng,Haitao,2022,USA,For contributions to wireless networking and mobile computing,https://awards.acm.org/award-recipients/zheng_5064513,https://dblp.org/pid/20/134-2,https://scholar.google.com/citations?user=XrIr0nYAAAAJ,"Neubauer Professor of Computer Science, University of Chicago",Mobile Computing Wireless networks Security and Privacy,XrIr0nYAAAAJ,"[('2003', '69'), ('2004', '57'), ('2005', '121'), ('2006', '206'), ('2007', '350'), ('2008', '489'), ('2009', '640'), ('2010', '825'), ('2011', '891'), ('2012', '1013'), ('2013', '1015'), ('2014', '1154'), ('2015', '1231'), ('2016', '1199'), ('2017', '1173'), ('2018', '1255'), ('2019', '1204'), ('2020', '1308'), ('2021', '1493'), ('2022', '1593'), ('2023', '1249')]",18899.0,,66.0,184.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XrIr0nYAAAAJ&citpid=4,"['Mobile Computing', 'Wireless networks', 'Security and Privacy']"
24,Ishii,Hiroshi,2022,USA,For contributions to tangible user interfaces and to human-computer interaction,https://awards.acm.org/award-recipients/ishii_3185337,https://dblp.org/pid/45/2605-1,https://scholar.google.com/citations?user=wS0qP_MAAAAJ,"Jerome B. Wiesner Professor of Media Arts and Sciences, Associate Director of MIT Media …",Human-Computer Interaction Tangible User Interfaces Tangible Bits Radical Atoms Telepresence,wS0qP_MAAAAJ,"[('1992', '101'), ('1993', '159'), ('1994', '120'), ('1995', '169'), ('1996', '166'), ('1997', '218'), ('1998', '338'), ('1999', '541'), ('2000', '446'), ('2001', '628'), ('2002', '703'), ('2003', '888'), ('2004', '1180'), ('2005', '1084'), ('2006', '1171'), ('2007', '1337'), ('2008', '1427'), ('2009', '1466'), ('2010', '1561'), ('2011', '1406'), ('2012', '1444'), ('2013', '1459'), ('2014', '1543'), ('2015', '1656'), ('2016', '1810'), ('2017', '1774'), ('2018', '1812'), ('2019', '1835'), ('2020', '1740'), ('2021', '1656'), ('2022', '1526'), ('2023', '1150')]",35149.0,,82.0,220.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wS0qP_MAAAAJ&citpid=2,"['Human-Computer Interaction', 'Tangible User Interfaces', 'Tangible Bits', 'Radical Atoms', 'Telepresence']"
25,Mei,Hong,2022,China,"For contributions to software engineering research and translation, and establishing  research standards in China",https://awards.acm.org/award-recipients/mei_8736937,https://dblp.org/pid/59/8480,https://scholar.google.com/citations?user=RU3rpYsAAAAJ,University of Hong Kong,Igneous Petrology Economic Geology Ore Deposits HKU-DES,RU3rpYsAAAAJ,"[('2003', '173'), ('2004', '254'), ('2005', '348'), ('2006', '520'), ('2007', '659'), ('2008', '821'), ('2009', '832'), ('2010', '943'), ('2011', '1025'), ('2012', '1542'), ('2013', '2103'), ('2014', '2299'), ('2015', '2667'), ('2016', '2325'), ('2017', '2681'), ('2018', '3251'), ('2019', '3367'), ('2020', '3639'), ('2021', '3771'), ('2022', '3408'), ('2023', '2990')]",40058.0,,110.0,360.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RU3rpYsAAAAJ&citpid=11,"['Igneous Petrology', 'Economic Geology', 'Ore Deposits']"
26,Teevan,Jaime,2022,USA,"For contributions to human-computer interaction, information retrieval, and productivity",https://awards.acm.org/award-recipients/teevan_3995073,https://dblp.org/pid/38/129,https://scholar.google.com/citations?user=F5Ik84MAAAAJ,"Chief Scientist & Technical Fellow, Microsoft",Information Retrieval Human-Computer Interaction Future of Work Personal Information Management Crowdsourcing,F5Ik84MAAAAJ,"[('2005', '128'), ('2006', '255'), ('2007', '382'), ('2008', '442'), ('2009', '596'), ('2010', '691'), ('2011', '869'), ('2012', '1051'), ('2013', '1230'), ('2014', '1243'), ('2015', '1418'), ('2016', '1450'), ('2017', '1357'), ('2018', '1295'), ('2019', '1174'), ('2020', '1280'), ('2021', '1389'), ('2022', '1529'), ('2023', '1321')]",19403.0,,65.0,141.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=F5Ik84MAAAAJ&citpid=14,"['Information Retrieval', 'Human-Computer Interaction', 'Future of Work', 'Personal Information Management', 'Crowdsourcing']"
27,Hong,Jason,2022,USA,For contributions to ubiquitous computing and to usable privacy and security,https://awards.acm.org/award-recipients/hong_4784823,https://dblp.org/pid/98/4249,https://scholar.google.com/citations?user=MoFbcc0AAAAJ,Carnegie Mellon University,Human-Computer Interaction HCI Usable Privacy and Security Mobile computing Social Computing,MoFbcc0AAAAJ,"[('2001', '133'), ('2002', '252'), ('2003', '353'), ('2004', '569'), ('2005', '785'), ('2006', '751'), ('2007', '870'), ('2008', '867'), ('2009', '1234'), ('2010', '1237'), ('2011', '1302'), ('2012', '1461'), ('2013', '1570'), ('2014', '1909'), ('2015', '1913'), ('2016', '2024'), ('2017', '2154'), ('2018', '2026'), ('2019', '2053'), ('2020', '2172'), ('2021', '2116'), ('2022', '2114'), ('2023', '1491')]",31993.0,,81.0,186.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MoFbcc0AAAAJ&citpid=3,"['Human-Computer Interaction', 'HCI', 'Usable Privacy and Security', 'Mobile computing', 'Social Computing']"
28,Stasko,John,2022,USA,"For contributions to the design, analysis, usage, and evaluation of software and information visualization",https://awards.acm.org/award-recipients/stasko_2936201,https://dblp.org/pid/s/JohnTStasko,https://scholar.google.com/citations?user=2PxFftgAAAAJ,"Regents Professor of Interactive Computing, Georgia Institute of Technology",Information Visualization Visual Analytics Human-Computer Interaction,2PxFftgAAAAJ,"[('1992', '84'), ('1993', '120'), ('1994', '148'), ('1995', '184'), ('1996', '273'), ('1997', '277'), ('1998', '327'), ('1999', '359'), ('2000', '389'), ('2001', '349'), ('2002', '595'), ('2003', '507'), ('2004', '547'), ('2005', '671'), ('2006', '735'), ('2007', '760'), ('2008', '764'), ('2009', '948'), ('2010', '983'), ('2011', '981'), ('2012', '1047'), ('2013', '1203'), ('2014', '1331'), ('2015', '1179'), ('2016', '1299'), ('2017', '1290'), ('2018', '1329'), ('2019', '1265'), ('2020', '1437'), ('2021', '1310'), ('2022', '1292'), ('2023', '1096')]",25632.0,,76.0,222.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2PxFftgAAAAJ&citpid=5,"['Information Visualization', 'Visual Analytics', 'Human-Computer Interaction']"
